Iterasi,Jaringan,Format,Rendering,LCP,TBT,CLS,Payload
9,Broadband,SVG,CSR,1209.67,0.00,0.000,218.12
9,Broadband,GIF,SSR,2478.44,0.00,0.000,273.42
9,Broadband,GIF,CSR,419.52,0.00,0.000,274.94
9,Fast 4G,Lottie,SSR,1732.29,163.27,0.000,1092.31
9,Fast 4G,Lottie,CSR,2277.85,104.94,0.000,1092.48
9,Fast 4G,SVG,SSR,810.23,137.35,0.000,219.12
9,Fast 4G,SVG,CSR,2279.24,0.00,0.000,218.34
9,Fast 4G,GIF,SSR,1733.75,82.41,0.000,273.44
9,Fast 4G,GIF,CSR,2363.20,0.00,0.000,274.95
9,Slow 4G,Lottie,SSR,1663.82,724.99,0.000,1092.40
9,Slow 4G,Lottie,CSR,1709.06,368.27,0.000,1092.53
9,Slow 4G,SVG,SSR,1655.62,389.56,0.000,219.21
9,Slow 4G,SVG,CSR,1726.71,282.01,0.000,218.33
9,Slow 4G,GIF,SSR,5810.61,390.32,0.000,273.54
9,Slow 4G,GIF,CSR,7433.81,345.79,0.000,274.96
10,Broadband,Lottie,SSR,2467.53,0.00,0.000,1092.56
10,Broadband,Lottie,CSR,2199.18,0.00,0.000,1092.44
10,Broadband,SVG,SSR,1394.55,0.00,0.000,219.18
10,Broadband,SVG,CSR,145.69,0.00,0.000,218.25
10,Broadband,GIF,SSR,2386.71,0.00,0.000,273.46
10,Broadband,GIF,CSR,2303.02,0.00,0.000,274.77
10,Fast 4G,Lottie,SSR,2394.76,193.52,0.000,1092.21
10,Fast 4G,Lottie,CSR,2257.83,100.49,0.000,1092.46
10,Fast 4G,SVG,SSR,2458.38,0.00,0.000,219.16
10,Fast 4G,SVG,CSR,2276.93,0.00,0.000,218.32
10,Fast 4G,GIF,SSR,2446.37,0.00,0.000,273.41
10,Fast 4G,GIF,CSR,2281.70,0.00,0.000,274.85
10,Slow 4G,Lottie,SSR,3561.43,707.48,0.000,1092.39
10,Slow 4G,Lottie,CSR,1696.94,374.65,0.000,1092.56
10,Slow 4G,SVG,SSR,1686.15,525.41,0.000,219.17
10,Slow 4G,SVG,CSR,1644.94,350.67,0.000,218.36
10,Slow 4G,GIF,SSR,5779.14,311.26,0.000,273.50
10,Slow 4G,GIF,CSR,7550.45,449.33,0.000,274.98
11,Broadband,Lottie,SSR,2524.79,0.00,0.000,1092.23
11,Broadband,Lottie,CSR,1231.55,0.00,0.000,1092.49
11,Broadband,SVG,SSR,1410.62,0.00,0.000,219.17
11,Broadband,SVG,CSR,1179.50,0.00,0.000,218.24
11,Broadband,GIF,SSR,2418.96,0.00,0.000,273.46
11,Broadband,GIF,CSR,2351.92,0.00,0.000,274.70
11,Fast 4G,Lottie,SSR,2468.55,244.92,0.000,1092.39
11,Fast 4G,Lottie,CSR,2279.66,99.12,0.000,1092.43
11,Fast 4G,SVG,SSR,2469.92,0.00,0.000,219.14
11,Fast 4G,SVG,CSR,2260.87,0.00,0.000,218.33
11,Fast 4G,GIF,SSR,2520.03,0.00,0.000,273.44
11,Fast 4G,GIF,CSR,2570.66,0.00,0.000,274.84
11,Slow 4G,Lottie,SSR,1684.00,576.78,0.000,1092.51
11,Slow 4G,Lottie,CSR,1612.87,274.81,0.000,1092.57
11,Slow 4G,SVG,SSR,1579.74,257.38,0.000,219.08
11,Slow 4G,SVG,CSR,1597.33,437.08,0.000,218.33
11,Slow 4G,GIF,SSR,5801.35,297.76,0.000,273.53
11,Slow 4G,GIF,CSR,7604.48,539.80,0.000,274.96
12,Broadband,Lottie,SSR,2479.93,0.00,0.000,1092.44
12,Broadband,Lottie,CSR,151.34,6.50,0.000,1092.48
12,Broadband,SVG,SSR,2409.17,0.00,0.000,219.13
12,Broadband,SVG,CSR,2239.07,0.00,0.000,218.26
12,Broadband,GIF,SSR,2443.07,0.00,0.000,273.50
12,Broadband,GIF,CSR,447.62,0.00,0.000,274.89
12,Fast 4G,Lottie,SSR,2434.77,149.06,0.000,1092.21
12,Fast 4G,Lottie,CSR,2266.81,143.69,0.000,1092.52
12,Fast 4G,SVG,SSR,2407.31,0.00,0.000,219.13
12,Fast 4G,SVG,CSR,2267.32,0.00,0.000,218.27
12,Fast 4G,GIF,SSR,2379.66,0.00,0.000,273.49
12,Fast 4G,GIF,CSR,2274.86,0.00,0.000,274.94
12,Slow 4G,Lottie,SSR,1649.03,372.50,0.000,1092.60
12,Slow 4G,Lottie,CSR,2520.82,264.49,0.000,1092.57
12,Slow 4G,SVG,SSR,1535.25,484.33,0.000,219.19
12,Slow 4G,SVG,CSR,1634.01,266.18,0.000,218.31
12,Slow 4G,GIF,SSR,5780.41,193.45,0.000,273.51
12,Slow 4G,GIF,CSR,7341.63,327.53,0.000,274.96
13,Broadband,Lottie,SSR,2429.19,0.00,0.000,1092.22
13,Broadband,Lottie,CSR,2192.35,0.00,0.000,1092.39
13,Broadband,SVG,SSR,1442.58,0.00,0.000,219.15
13,Broadband,SVG,CSR,1240.59,0.00,0.000,218.31
13,Broadband,GIF,SSR,2370.44,0.00,0.000,273.43
13,Broadband,GIF,CSR,367.82,0.00,0.000,274.93
13,Fast 4G,Lottie,SSR,2410.74,137.57,0.000,1092.30
13,Fast 4G,Lottie,CSR,2262.36,243.76,0.000,1092.51
13,Fast 4G,SVG,SSR,2432.96,0.00,0.000,219.13
13,Fast 4G,SVG,CSR,2251.72,0.00,0.000,218.24
13,Fast 4G,GIF,SSR,1773.79,95.62,0.000,273.51
13,Fast 4G,GIF,CSR,2364.59,0.00,0.000,274.85
13,Slow 4G,Lottie,SSR,1589.20,540.63,0.000,1092.36
13,Slow 4G,Lottie,CSR,1571.59,402.90,0.000,1092.54
13,Slow 4G,SVG,SSR,1710.59,370.19,0.000,219.19
13,Slow 4G,SVG,CSR,1787.79,291.13,0.000,218.35
13,Slow 4G,GIF,SSR,5795.91,287.22,0.000,273.51
13,Slow 4G,GIF,CSR,7338.84,320.46,0.000,274.98
14,Broadband,Lottie,SSR,477.45,0.00,0.000,1092.24
14,Broadband,Lottie,CSR,219.82,3.90,0.000,1092.40
14,Broadband,SVG,SSR,1383.31,0.00,0.000,219.17
14,Broadband,SVG,CSR,1182.85,0.00,0.000,218.14
14,Broadband,GIF,SSR,1087.09,0.00,0.000,273.41
14,Broadband,GIF,CSR,2340.59,0.00,0.000,274.79
14,Fast 4G,Lottie,SSR,2509.61,107.07,0.000,1092.52
14,Fast 4G,Lottie,CSR,2256.88,67.73,0.000,1092.49
14,Fast 4G,SVG,SSR,831.89,96.01,0.000,219.16
14,Fast 4G,SVG,CSR,2260.04,0.00,0.000,218.28
14,Fast 4G,GIF,SSR,2401.59,0.00,0.000,273.52
14,Fast 4G,GIF,CSR,2286.79,0.00,0.000,274.93
14,Slow 4G,Lottie,SSR,1680.51,510.16,0.000,1092.55
14,Slow 4G,Lottie,CSR,1731.51,385.84,0.000,1092.55
14,Slow 4G,SVG,SSR,1686.40,457.90,0.000,219.17
14,Slow 4G,SVG,CSR,1761.90,390.27,0.000,218.34
14,Slow 4G,GIF,SSR,5791.72,363.12,0.000,273.51
14,Slow 4G,GIF,CSR,7813.15,617.12,0.000,274.97
15,Broadband,Lottie,SSR,1413.50,0.00,0.000,1092.61
15,Broadband,Lottie,CSR,1214.03,0.00,0.000,1092.49
15,Broadband,SVG,SSR,519.67,0.00,0.000,219.19
15,Broadband,SVG,CSR,1155.61,0.00,0.000,218.24
15,Broadband,GIF,SSR,538.23,0.00,0.000,273.47
15,Broadband,GIF,CSR,424.67,0.00,0.000,274.89
15,Fast 4G,Lottie,SSR,940.79,267.35,0.000,1092.40
15,Fast 4G,Lottie,CSR,2266.36,127.73,0.000,1092.44
15,Fast 4G,SVG,SSR,848.37,66.64,0.000,219.19
15,Fast 4G,SVG,CSR,2266.88,0.00,0.000,218.27
15,Fast 4G,GIF,SSR,1810.06,65.33,0.000,273.51
15,Fast 4G,GIF,CSR,2235.49,93.84,0.000,274.91
15,Slow 4G,Lottie,SSR,1764.63,651.79,0.000,1092.63
15,Slow 4G,Lottie,CSR,1461.37,629.39,0.000,1092.53
15,Slow 4G,SVG,SSR,1665.88,391.73,0.000,219.16
15,Slow 4G,SVG,CSR,1508.58,298.00,0.000,218.35
15,Slow 4G,GIF,SSR,5818.57,387.87,0.000,273.53
15,Slow 4G,GIF,CSR,7282.84,266.14,0.000,275.02
16,Broadband,Lottie,SSR,1367.02,0.00,0.000,1092.21
16,Broadband,Lottie,CSR,1162.81,0.00,0.000,1092.45
16,Broadband,SVG,SSR,1408.91,0.00,0.000,219.11
16,Broadband,SVG,CSR,1212.58,0.00,0.000,218.14
16,Broadband,GIF,SSR,1453.30,0.00,0.000,273.42
16,Broadband,GIF,CSR,420.78,0.00,0.000,274.97
16,Fast 4G,Lottie,SSR,2453.34,256.61,0.000,1092.39
16,Fast 4G,Lottie,CSR,2285.76,185.35,0.000,1092.56
1,Broadband,Lottie,SSR,1323.29,0.00,0.000,1092.46
1,Broadband,Lottie,CSR,1188.03,0.00,0.000,1092.48
1,Broadband,Lottie,SSR,2508.53,0.00,0.000,1092.34
1,Broadband,Lottie,CSR,166.51,0.00,0.000,1092.48
